Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Year
Southeastern Severe Storms (March 2018),Severe Storm,20180318,20180321,1310,3,2018
Northeast Winter Storm (March 2018),Winter Storm,20180301,20180303,1770,9,2018
Central and Eastern Winter Storm (January 2018),Winter Storm,20180103,20180105,1043,22,2018
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,20170601,20171231,18185.1,54,2017
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,20170301,20171231,2525,0,2017
Hurricane Maria (September 2017),Tropical Cyclone,20170919,20170921,90900,65,2017
Hurricane Irma (September 2017),Tropical Cyclone,20170906,20170912,50474.8,97,2017
Hurricane Harvey (August 2017),Tropical Cyclone,20170825,20170831,126250,89,2017
Midwest Severe Weather (June 2017),Severe Storm,20170627,20170629,1439.3,0,2017
Midwest Severe Weather (June 2017),Severe Storm,20170612,20170616,1554.4,0,2017
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,20170609,20170611,2420.5,0,2017
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,20170508,20170511,3450.5,0,2017
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,20170425,20170507,1708.9,20,2017
South/Southeast Severe Weather (March 2017),Severe Storm,20170326,20170328,2775.9,0,2017
Southeast Freeze (March 2017),Freeze,20170314,20170316,1030,0,2017
Midwest Tornado Outbreak (March 2017),Severe Storm,20170306,20170308,2241.5,2,2017
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,20170228,20170301,1860.3,6,2017
California Flooding (February 2017),Flooding,20170208,20170222,1545,5,2017
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,20170120,20170122,1138.3,24,2017
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,20160601,20161231,2515,21,2016
West/Northeast/Southeast Drought (2016),Drought,20160101,20161231,3626,0,2016
Hurricane Matthew (October 2016),Tropical Cyclone,20161008,20161012,10500,49,2016
Louisiana Flooding (August 2016),Flooding,20160812,20160815,10500,13,2016
Rockies and Northeast Severe Weather (July 2016),Severe Storm,20160728,20160730,1538.9,0,2016
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,20160622,20160624,1017.2,23,2016
Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,20160521,20160526,1203.6,0,2016
Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,20160508,20160511,1805.6,2,2016
South/Southeast Tornadoes (April 2016),Severe Storm,20160426,20160502,2514.2,6,2016
Houston Flooding (April 2016),Flooding,20160417,20160418,2809.8,8,2016
North/Central Texas Hail Storm (April 2016),Severe Storm,20160410,20160412,3673.6,0,2016
North Texas Hail Storm (March 2016),Severe Storm,20160323,20160324,2168,0,2016
Southern Severe Weather (March 2016),Severe Storm,20160317,20160318,1270.8,1,2016
Texas and Louisiana Flooding (March 2016),Flooding,20160308,20160312,2409.6,5,2016
Southeast and Eastern Tornadoes (February 2016),Severe Storm,20160222,20160224,1092.2,10,2016
Western Drought (2015),Drought,20150101,20151231,4778.8,0,2015
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,20151226,20151229,2099.2,50,2015
Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,20150601,20151130,3218.5,12,2015
South Carolina and East Coast Flooding (October 2015),Flooding,20151001,20151005,2137.9,25,2015
Central and Northeast Severe Weather (June 2015),Severe Storm,20150621,20150625,1254.1,1,2015
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,20150523,20150526,2675.3,31,2015
Southern Plains Tornadoes (May 2015),Severe Storm,20150506,20150510,1361.1,4,2015
South/Southeast Severe Weather (April 2015),Severe Storm,20150418,20150420,1373.8,0,2015
Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,20150407,20150409,1664.4,2,2015
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,20150214,20150220,3169.7,30,2015
Western Drought (2014),Drought,20140101,20141231,4208.4,0,2014
Rockies/Plains Severe Weather (September 2014),Severe Storm,20140929,20141002,1484.5,0,2014
Michigan and Northeast Flooding (August 2014),Flooding,20140811,20140813,1093.6,2,2014
Rockies/Central Plains Severe Weather (June 2014),Severe Storm,20140603,20140605,2034.3,2,2014
Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,20140518,20140523,3936,0,2014
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,20140427,20140501,1840.4,33,2014
Plains Severe Weather (April 2014),Severe Storm,20140402,20140403,1509.4,0,2014
Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,20140105,20140108,2303.1,16,2014
Western/Plains Drought/Heatwave (Spring-Fall 2013),Drought,20130301,20131130,11259.8,53,2013
Ohio Valley Tornadoes (November 2013),Severe Storm,20131117,20131117,1177.8,8,2013
Colorado Flooding (September 2013),Flooding,20130910,20130916,1629.2,9,2013
Midwest Severe Weather (August 2013),Severe Storm,20130806,20130807,1125.3,0,2013
Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,20130527,20130531,1958.5,10,2013
Midwest/Plains/East Tornadoes (May 2013),Severe Storm,20130518,20130522,2592.3,27,2013
Illinois Flooding and Severe Weather (April 2013),Flooding,20130416,20130419,1163.2,4,2013
Midwest/Plains Severe Weather (April 2013),Severe Storm,20130407,20130411,1559.5,1,2013
Southeast Severe Weather (March 2013),Severe Storm,20130318,20130318,2181.7,1,2013
U.S. Drought/Heatwave (2012),Drought,20120101,20121231,33003.9,123,2012
Western Wildfires (Summer-Fall 2012),Wildfire,20120601,20121130,1912.5,8,2012
Hurricane Sandy (October 2012),Tropical Cyclone,20121030,20121031,71543.7,159,2012
Hurricane Isaac (August 2012),Tropical Cyclone,20120826,20120831,3039.8,9,2012
Plains/East/Northeast Severe Weather (June-July 2012),Severe Storm,20120629,20120702,3177.3,28,2012
Rockies/Southwest Severe Weather (June 2012),Severe Storm,20120606,20120612,2857.7,0,2012
Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,20120525,20120530,2534.1,1,2012
Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,20120428,20120501,3604,1,2012
Midwest Tornadoes (April 2012),Severe Storm,20120413,20120414,1235.9,6,2012
Texas Tornadoes (April 2012),Severe Storm,20120402,20120403,1116.8,0,2012
Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,20120302,20120303,3441.8,42,2012
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,20110601,20111130,2057.5,5,2011
Tropical Storm Lee (September 2011),Tropical Cyclone,20110901,20110905,2839,21,2011
Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011),Drought,20110301,20110831,13564.4,95,2011
Hurricane Irene (August 2011),Tropical Cyclone,20110826,20110828,15248.2,45,2011
Midwest/Southeast Severe Weather (August 2011),Severe Storm,20110817,20110818,1301.1,0,2011
Rockies and Midwest Severe Weather (July 2011),Severe Storm,20110710,20110714,1384.4,2,2011
Missouri River flooding (May-June 2011),Flooding,20110501,20110630,2262.6,5,2011
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,20110618,20110622,1737.3,3,2011
Mississippi River flooding (April-May 2011),Flooding,20110401,20110531,3374.3,7,2011
Midwest/Southeast Tornadoes (May 2011),Severe Storm,20110522,20110527,10279.2,177,2011
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,20110425,20110428,11550.7,321,2011
Ohio Valley/South Tornadoes (April 2011),Severe Storm,20110419,20110420,1172.4,0,2011
Midwest/Southeast Tornadoes (April 2011),Severe Storm,20110414,20110416,2326.9,38,2011
Southeast/Midwest Tornadoes (April 2011),Severe Storm,20110408,20110411,2462.6,0,2011
Midwest/Southeast Tornadoes (April 2011),Severe Storm,20110404,20110405,3136,9,2011
Groundhog Day Blizzard (February 2011),Winter Storm,20110201,20110203,2027.3,36,2011
Arizona Severe Weather (October 2010),Severe Storm,20101005,20101006,4370,0,2010
Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,20100720,20100723,1090.6,0,2010
Rockies/Central/East Severe Weather (June 2010),Severe Storm,20100610,20100615,1036.4,2,2010
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,20100510,20100512,3833.8,3,2010
East/South Flooding and Severe Weather (May 2010),Flooding,20100430,20100502,2606.3,32,2010
Northeast Flooding (March 2010),Flooding,20100301,20100331,2120.8,11,2010
Southwest/Great Plains Drought (2009),Drought,20090101,20091231,4120.5,0,2009
Western Wildfires (Summer-Fall 2009),Wildfire,20090601,20091130,1196.3,10,2009
Colorado Hail Storm (July 2009),Severe Storm,20090720,20090720,1180,0,2009
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,20090609,20090612,1567,0,2009
South/Southeast Severe Weather & Tornadoes (April 2009),Severe Storm,20090409,20090410,1687.5,6,2009
Midwest/Southeast Tornadoes (March 2009),Severe Storm,20090325,20090328,1935.8,0,2009
Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,20090210,20090211,2053.5,10,2009
U.S. Drought (2008),Drought,20080101,20081231,8271.5,0,2008
U.S. Wildfires (Fall 2008),Wildfire,20080901,20081130,1456.2,16,2008
Hurricane Ike (September 2008),Tropical Cyclone,20080912,20080914,35398.5,112,2008
Hurricane Gustav (September 2008),Tropical Cyclone,20080831,20080903,7076.5,53,2008
Hurricane Dolly (July 2008),Tropical Cyclone,20080723,20080725,1495.3,3,2008
Midwest Flooding (Summer 2008),Flooding,20080401,20080630,11751,24,2008
Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,20080606,20080612,1930.2,18,2008
Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,20080522,20080527,3574.7,13,2008
Southern Severe Weather (April 2008),Severe Storm,20080409,20080411,1226.8,2,2008
Southeast Tornadoes (March 2008),Severe Storm,20080314,20080315,1334.6,5,2008
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,20080205,20080206,1429.6,57,2008
Western/Eastern Drought/Heatwave (Summer-Fall 2007),Drought,20070601,20071130,4352.2,15,2007
Western Wildfires (Summer 2007),Wildfire,20070601,20070831,3371.8,12,2007
East/South Severe Weather and Flooding (April 2007),Severe Storm,20070413,20070417,3084.5,9,2007
Spring Freeze (April 2007),Freeze,20070404,20070410,2514.3,0,2007
California Freeze (January 2007),Freeze,20070111,20070117,1722,1,2007
Numerous Wildfires (2006),Wildfire,20060101,20061231,1848.6,28,2006
Central Severe Weather (October 2006),Severe Storm,20061002,20061005,1107.6,1,2006
Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,20060301,20060831,7557.4,0,2006
Northeast Flooding (June 2006),Flooding,20060625,20060628,1917.2,20,2006
Midwest Tornadoes (April 2006),Severe Storm,20060413,20060416,3053.6,27,2006
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,20060406,20060408,2020.8,10,2006
Severe Storms and Tornadoes (March 2006),Severe Storm,20060308,20060313,1685.3,10,2006
Hurricane Wilma (October 2005),Tropical Cyclone,20051024,20051024,24890,35,2005
Hurricane Rita (September 2005),Tropical Cyclone,20050920,20050924,24235.2,119,2005
Midwest Drought (Spring-Summer 2005),Drought,20050301,20050831,1932.1,0,2005
Hurricane Katrina (August 2005),Tropical Cyclone,20050825,20050830,163761.8,1833,2005
Hurricane Dennis (July 2005),Tropical Cyclone,20050709,20050711,3268.5,15,2005
Southeast Severe Weather (March 2005),Severe Storm,20050324,20050327,1133.3,0,2005
Hurricane Jeanne (September 2004),Tropical Cyclone,20040915,20040929,10045.5,28,2004
Hurricane Ivan (September 2004),Tropical Cyclone,20040912,20040921,27470.8,57,2004
Hurricane Frances (September 2004),Tropical Cyclone,20040903,20040909,13132,48,2004
Hurricane Charley (August 2004),Tropical Cyclone,20040813,20040814,21439.3,35,2004
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,20040521,20040527,1358.6,4,2004
California Wildfires (Fall 2003),Wildfire,20030901,20031130,5330,22,2003
Western/Central Drought/Heatwave (Spring-Fall 2003),Drought,20030301,20031130,6845.3,35,2003
Hurricane Isabel (September 2003),Tropical Cyclone,20030918,20030919,7513,55,2003
Severe Weather (July 2003),Severe Storm,20030721,20030723,1381.1,7,2003
Midwest/Plains Severe Weather (July 2003),Severe Storm,20030704,20030709,1175.5,7,2003
Severe Storms/Tornadoes (May 2003),Severe Storm,20030503,20030510,5655.9,51,2003
Severe Storms/Hail (April 2003),Severe Storm,20030404,20030407,2748.5,3,2003
Western Fire Season (Fall 2002),Wildfire,20020901,20021130,1865.2,21,2002
U.S. Drought (Spring-Fall 2002),Drought,20020301,20021130,12686,0,2002
Hurricane Lili (October 2002),Tropical Cyclone,20020801,20020805,1557.4,2,2002
Severe Storms and Tornadoes (April 2002),Severe Storm,20020427,20020428,2952.3,7,2002
Tropical Storm Allison (June 2001),Tropical Cyclone,20010605,20010617,12101.2,43,2001
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,20010406,20010411,4394.6,3,2001
Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000),Drought,20000301,20001130,7395.8,140,2000
South Florida Flooding (October 2000),Flooding,20001003,20001004,1332,3,2000
Western Fire Season (Spring-Summer 2000),Wildfire,20000301,20000831,1591,0,2000
Hurricane Floyd (September 1999),Tropical Cyclone,19990914,19990916,9866.2,77,1999
Eastern Drought/Heatwave (Summer 1999),Drought,19990601,19990831,3798.3,502,1999
Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,19990503,19990506,3058.4,55,1999
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,19990113,19990116,1340.6,0,1999
Central and Eastern Winter Storm (January 1999),Winter Storm,19990101,19990104,1569.3,25,1999
California Freeze (December 1998),Freeze,19981220,19981228,3850,0,1998
Texas Flooding (October 1998),Flooding,19981016,19981024,1450.8,31,1998
Hurricane Georges (September 1998),Tropical Cyclone,19980920,19980929,9216.1,16,1998
Southern Drought/Heat Wave (Summer 1998),Drought,19980601,19980831,5433.2,200,1998
Hurricane Bonnie (August 1998),Tropical Cyclone,19980827,19980829,1509.2,3,1998
Tropical Storm Frances (September 1998),Tropical Cyclone,19980808,19980813,1078,2,1998
"Severe Storms, Tornadoes (June 1998)",Severe Storm,19980530,19980602,1752.9,20,1998
Minnesota Severe Storms/Hail (May 1998),Severe Storm,19980515,19980515,2512.1,1,1998
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,19971201,19980228,1567,132,1997
Northeast Ice Storm (January 1998),Winter Storm,19980105,19980109,2158.6,16,1998
Northern Plains Flooding (Spring 1997),Flooding,19970203,19970524,5735.3,11,1997
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,19970228,19970305,1524.9,67,1997
West Coast Flooding (December 1996-January 1997),Flooding,19970101,19970111,4706.6,36,1997
Hurricane Fran (September 1996),Tropical Cyclone,19960905,19960908,8061.4,37,1996
Southern Plains Drought (Spring-Summer 1996),Drought,19960301,19960831,2884.3,0,1996
Pacific Northwest Severe Flooding (February 1996),Flooding,19960207,19960212,1623.4,9,1996
Blizzard/Floods (January 1996),Winter Storm,19960101,19960131,4834.8,187,1996
Hurricane Opal (October 1995),Tropical Cyclone,19951004,19951006,7783.8,27,1995
Hurricane Marilyn (September 1995),Tropical Cyclone,19950915,19950917,3486,13,1995
Hurricane Erin (August 1995),Tropical Cyclone,19950801,19950807,1411,6,1995
South Plains Severe Weather (May 1995),Severe Storm,19950505,19950507,9107.5,32,1995
California Flooding (January-March 1995),Flooding,19950101,19950331,4150,27,1995
Western Fire Season (Summer-Fall 1994),Wildfire,19940601,19941130,1232.5,0,1994
Texas Flooding (October 1994),Flooding,19941016,19941025,1700,19,1994
Tropical Storm Alberto (July 1994),Tropical Cyclone,19940707,19940710,1697.5,32,1994
Midwest/Plains Tornadoes (April 1994),Severe Storm,19940425,19940427,1674.5,3,1994
Southeast Ice Storm (February 1994),Winter Storm,19940208,19940213,5096.1,9,1994
"Winter Storm, Cold Wave (January 1994)",Winter Storm,19940117,19940120,1768.5,70,1994
California Wildfires (Fall 1993),Wildfire,19930901,19931130,2400.1,4,1993
Southeast Drought/Heat Wave (Summer 1993),Drought,19930601,19930831,2201.5,16,1993
Midwest Flooding (Summer 1993),Flooding,19930627,19930815,36681.6,48,1993
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,19930311,19930314,9672.5,270,1993
Northeast Winter Storm (December 1992),Winter Storm,19921210,19921213,4469.4,19,1992
Southeast Severe Weather (November 1992),Severe Storm,19921121,19921123,1182.6,26,1992
Hurricane Iniki (September 1992),Tropical Cyclone,19920911,19920912,5580,7,1992
Hurricane Andrew (August 1992),Tropical Cyclone,19920823,19920827,48600,61,1992
"Severe Storms, Hail (June 1992)",Severe Storm,19920619,19920620,1346.5,0,1992
"Hail, Tornadoes (April 1992)",Severe Storm,19920428,19920429,1717.9,0,1992
Severe Storms (March 1992),Severe Storm,19920324,19920325,1447.8,0,1992
Oakland Firestorm (October 1991),Wildfire,19911001,19911031,6105,25,1991
U.S. Drought (Spring-Summer 1991),Drought,19910301,19910831,5565.9,0,1991
Hurricane Bob (August 1991),Tropical Cyclone,19910818,19910820,2780.4,18,1991
"Severe Storms, Tornadoes (March 1991)",Severe Storm,19910326,19910329,1193.3,0,1991
California Freeze (December 1990),Freeze,19901218,19901225,6630,0,1990
Colorado Hail Storm (July 1990),Severe Storm,19900711,19900711,1599.1,0,1990
Southern Flooding (May 1990),Flooding,19900511,19900519,1963.4,13,1990
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1401.1,100,1989
Florida Freeze (December 1989),Freeze,19891223,19891225,4120,10,1989
Northern Plains Drought (Summer-Fall 1989),Drought,19890601,19891130,6186.5,0,1989
Hurricane Hugo (September 1989),Tropical Cyclone,19890921,19890922,18539.8,86,1989
Severe Storms (May 1989),Severe Storm,19890501,19890506,1136.2,21,1989
U.S. Drought/Heatwave (Summer 1988),Drought,19880601,19880831,43008.5,454,1988
Southeast Drought/Heatwave (Summer 1986),Drought,19860601,19860831,4094.2,100,1986
Western Severe Storms and Flooding (February 1986),Severe Storm,19860214,19860216,1202.6,13,1986
Hurricane Juan (October 1985),Tropical Cyclone,19851027,19851031,3532.2,63,1985
Hurricane Gloria (September 1985),Tropical Cyclone,19850926,19850928,2020.3,11,1985
Hurricane Elena (September 1985),Tropical Cyclone,19850830,19850903,3061.9,4,1985
Florida Freeze (January 1985),Freeze,19850120,19850122,2832,0,1985
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,1974.9,150,1985
Severe Storms and Hail (June 1984),Severe Storm,19840613,19840617,1088.7,1,1984
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,19840327,19840407,1471.7,80,1984
"Freeze, Cold Wave (December 1983)",Freeze,19831215,19831225,5115.1,151,1983
Southeast Drought (Summer 1983),Drought,19830601,19830831,7558.4,0,1983
Hurricane Alicia (August 1983),Tropical Cyclone,19830817,19830820,7650,21,1983
Western Storms & Flooding (December 1982-March 1983),Flooding,19821213,19830331,3959,50,1982
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,19821201,19830115,4055.3,45,1982
Severe storms (June 1982),Severe Storm,19820531,19820610,1267,30,1982
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,19820402,19820404,1275.5,33,1982
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,1747.5,85,1982
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,19810505,19810510,1148,20,1981
Florida Freeze (January 1981),Freeze,19810112,19810114,1635.9,0,1981
Central/Eastern Drought/Heatwave (Summer-Fall 1980),Drought,19800601,19801130,32064,1260,1980
Hurricane Allen (August 1980),Tropical Cyclone,19800807,19800811,1888,13,1980
Southern Severe Storms and Flooding (April 1980),Flooding,19800410,19800417,2261.6,7,1980
